24-12-2015||satire||---------||A Micro-primer on Corruption||If you are caught in the act, just deny it.||
04-12-2015||notes||---------||China's One Belt One Road : An Indian Perspective||The One Belt One Road initiative is the centrepiece of China's foreign policy and domestic economic strategy. It aims to rejuvenate ancient trade routes--Silk Routes--which will open up markets within and beyond the region. India has so far been suspicious of the strategic implications of this initiative. If India sheds its inhibitions and participates actively in its implementation, it stands to gain substantially in terms of trade.||Geethanjali Nataraj,Richa Sekhani
04-12-2015||discussion||---------||'Outsider, We Love and Fear You' : Dialogue with the Nicobarese||The Nicobarese are not against "outsiders" and have a long tradition of embracing different cultures. They respect religious heterogeneity and even though the Hindu population in Kamorta and Katchal is small, there are numerous Hindu temples around, to which the Nicobarese have never objected. Their opposition to marriage alliances with outsiders is not religiously motivated but provoked by the undue advantage that the non-Nicobarese have taken by encroaching on their land and also disrupting the hitherto harmonious socio-economic dynamics. A response to Swapan K Biswas's article "Interreligious Marriage in Nicobar Islands: Opportunities and Challenges" (EPW, 30 May 2015).||Ajay Saini
04-12-2015||current statistics||---------||Current Statistics :||------------------||
04-12-2015||postscript||---------||Listening Hard :||Amidst growing Islamophobia in Europe, the only hope is in educating your own and “the other,” in discovering the rich past of coexistence, in dialogue, and exploring common identities.||Pawan Bali
04-12-2015||postscript||---------||Doing Science :||The absence of affordable, high-quality books and magazines on science, especially in regional languages, could imperil the existence of a democratic, rational society.||Prashant Singh
04-12-2015||postscript||---------||Goddess of Love :||The Kamakhya temple in Guwahati in Assam is awash in legends and myths that revolve around the metaphorical power or “shakti” within women.||Chitvan Singh Dhillon
04-12-2015||postscript||---------||Mighty Women,Tough Roles :||Two recent stage productions breathe life into the fiery times and passions of two outstanding, trenchantly independent women, Akhtari Begum and Amrita Pritam.||Feisal Alkazi
04-12-2015||postscript||---------||Last Lines :||------------------||
04-12-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
09-12-2015||web exclusives||---------||Apartheid has not Ended : #FeesMustFall Movement in South Africa||The student and workers protest across South African universities has highlighted the inequitable growth and racism that still exists even after 21 years of democratic rule. This article traces the roots of the #FeesMustFall movement and charts a path for solidarity with other marginalised groups in the country.||
