26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
22/10/1977- ||from our correspondents||4366032||Power Programme Heading for a Crash||-------------------------------------||B. M.
04/6/1977- ||from our correspondents||4365654||Advanced Masses: Backward Leadership||-------------------------------------||
19/3/1977- ||------||4365400||Price Situation||-------------------------------------||
22/1/1977- ||from our correspondents||4365272||Beedi Workers of Calcutta||-------------------------------------||Timir Basu
16/4/1977- ||------||4365493||Companies: Higher Production, Soaring Profit||-------------------------------------||Hansavivek
15/10/1977- ||------||4366014||Companies: A Poor Competitor||-------------------------------------||Hansavivek
04/6/1977- ||------||4365645||Fewer Parties, but Greater Rivalries||-------------------------------------||
02/4/1977- ||from our correspondents||4365453||Even Rigging Fails||-------------------------------------||Kalyan Chaudhuri
09/4/1977- ||------||4365465||Unchecked Growth||-------------------------------------||
18/6/1977- ||------||4365686||Middle-Class 'Janata' Look||-------------------------------------||
16/4/1977- ||------||4365486||Dead Issue||-------------------------------------||
23/4/1977- ||------||4365507||Questionable Claim||-------------------------------------||
03/9/1977- ||------||4365887||What Has Helped||-------------------------------------||
09/4/1977- ||special articles||4365482||Revolution, Reform, or Protest? A Study of the Bihar Movement: I||The Bihar Movement (1974-75) under the leadership of Jayaprakash Narayan did not aim at merely bringing about a few changes here and there; it aimed at a 'Total Revolution' in the country. Any revolutionary movement, more so such a 'Total Revolution', presupposes an ideology which presents a profile, general or specific, of the future social order; programmes and strategies which concretise that ideology; personnel - leaders and cadre - who carry out the programme; and an organisation linking the revolutionaries at various levels through communication and action. The present study exmines the Bihar movement with reference to these prerequisites. The study is published in three parts. The first part which appears this week examines briefly the salient features of society and politics in Bihar and deals with the antecedents of the movement.||Ghansham Shah
04/6/1977- ||------||4365643||White Paper on Emergency||-------------------------------------||
30/7/1977- ||------||4365813||Companies: Good Returns Nevertheless||-------------------------------------||Hansavivek
05/3/1977- ||special articles||4365377||Emerging Possibilities in India's Bilateral Trade||India's trade with the USSR and the Centrally Planned East European Countries (CPEECs) is at present based on rupee payments arrangements. However, India's trade agreements with these countries prior to 1958 were in the nature of convertibility currency agreements; and it was the acute foreign exchange crisis that began to be faced by the country when the Second Five-Year Plan was launched that dictated the changeover to rupee trade and payment agreements. The present article reviews the main features of India's trade with the USSR and CPEECs, and considers their likely new directions in the light of significant developments that are taking place in the country's balance of payments situation. It pleads for a return to convertibility currency trade with these countries.||R. H. Patil
